"","X","geneId","M1","M2","M3","M6","R1_1","R1_2","R1_4","R1_6","R25_1","R25_2","R25_4","R25_5","R25_6","DE_R1_mock","DE_R25_mock","DE_R1_R25","meanM","meanR1","meanR25","R1_LFC","R25_LFC","linetaldf"
"1",1,"Glyma.01G002200",259.176819926301,294.332189865718,327.394489822638,248.92846564021,252.774641759398,217.195701431868,247.48225836023,206.889357315717,178.633987923724,160.808788281179,203.998040581793,176.88769356808,213.540123526024,"no","yes","no",282.457991313717,231.085489716803,186.77372677616,-0.289609644868486,-0.596744790807319,"yes"
"2",2,"Glyma.01G002902",100.565948491757,90.0794073518591,53.456257292924,101.662685297529,23.3204469644857,33.0289928047212,25.5500257330906,42.3957437989271,15.5601629445675,57.8209024999746,9.65868419543193,36.8289746157199,23.6984597940414,"no","yes","no",86.4410746085173,31.0738023253062,28.7134368099471,-1.47601822075674,-1.58999098543565,"no"
"3",3,"Glyma.01G004200",225.602255900011,319.526365682405,396.364754041112,216.306299108603,2098.22919678307,2324.10288436743,2966.64310855735,2312.6254826664,4335.07516983293,3898.55878085763,3446.19423376019,4973.62738606052,5678.71019302772,"yes","yes","yes",289.449918683033,2425.40016809356,4466.4331527078,3.06683714160404,3.94773751349665,"yes"
"4",4,"Glyma.01G004600",141.086974040728,123.371711109625,88.4270954882067,93.2741281894015,64.3900693791393,51.0453012573768,49.1180504368576,57.646807303795,76.7128473117512,49.8304630859157,87.5868419543193,90.0295732875464,63.9366385198421,"yes","no","no",111.53997720699,55.5500570942922,73.6192728318749,-1.00570058175061,-0.599405476471824,"no"
"5",5,"Glyma.01G004800",31.1013332649499,3.69937598035937,11.685533893003,31.7580427298005,144.743678451288,109.097850715934,186.598194542165,152.42127336976,618.350908849663,337.486281992037,190.528976277788,66.1435902103998,411.635772637658,"yes","yes","no",19.5610714670282,148.215249269787,324.829105993509,2.92163658648297,4.05362360771268,"yes"
"6",6,"Glyma.01G005000",533.562050072191,602.061051626685,520.705512068784,610.568483190592,314.379075381379,252.227412312032,419.332438491864,389.902119374131,230.079896994529,416.502849531064,200.149736494934,318.032139023946,167.111455765485,"no","yes","no",566.724274239563,343.960261389852,266.375215561992,-0.720405101761369,-1.08918714256468,"yes"
"7",7,"Glyma.01G005500",66.9913844654671,239.444878265077,78.7129737672948,125.896294721008,74.211066043513,168.151306199639,155.174161603809,48.9319138724419,51.4752315411674,31.1861044531115,32.7485087165837,80.2580347559865,36.0794378635186,"no","yes","no",127.761382804712,111.617111929851,46.3494634660735,-0.194893610181227,-1.46282728906868,"yes"
"8",8,"Glyma.01G007200",501.145229633014,307.829069767515,259.395637776255,536.935593019251,648.292961970085,680.615191075177,757.140792579191,557.663817927678,1744.33684322955,961.628382890195,1096.804588733,795.751800566878,1284.4947265358,"no","yes","no",401.326382549009,660.928190888033,1176.60326839108,0.719717533357718,1.55178004412254,"yes"
"9",9,"Glyma.01G007300",38.0477947876307,30.693135783953,102.998278069574,48.5351569460553,113.495052701008,129.115971218885,186.598194542165,105.578721176237,317.440874661934,227.395783398336,196.301432408076,144.31589846288,399.254794568181,"no","yes","no",55.0685913968034,133.696984909574,256.941756699881,1.27966531933403,2.22213975653152,"yes"
"10",10,"Glyma.01G007400",152.664409911863,189.956318625156,148.65465015786,168.771142162548,437.58794262534,260.234660513212,283.816296445204,280.965951482218,483.426732230004,424.493288945123,608.06996970195,410.318891822012,547.826531401907,"yes","yes","no",165.011630214357,315.651212766493,494.827082820199,0.935763583200727,1.5843567529948,"yes"
"11",11,"Glyma.01G007500",5.63097434845383,25.2943838232343,13.6283582371854,27.0977332252853,59.9259799862422,26.0226506286884,69.7400720526538,15.1617018259488,104.862495671248,142.164429648374,80.8523098023167,99.8011118191064,68.0636312096678,"no","yes","no",17.9128624085397,42.7126011233833,99.1487956301427,1.25366586525608,2.46859935497966,"yes"
