geneId,FC,FC_Type,cluster
Glyma.01G002200,-0.289609645,R1_FC,cluster3
Glyma.01G002902,-1.476018221,R1_FC,cluster6
Glyma.01G004200,3.066837142,R1_FC,cluster8
Glyma.01G004600,-1.005700582,R1_FC,cluster3
Glyma.01G004800,2.921636586,R1_FC,cluster1
Glyma.01G005000,-0.720405102,R1_FC,cluster3
Glyma.01G005500,-0.19489361,R1_FC,cluster3
Glyma.01G007200,0.719717533,R1_FC,cluster9
Glyma.01G007300,1.279665319,R1_FC,cluster4
Glyma.01G007400,0.935763583,R1_FC,cluster9
Glyma.01G007500,1.253665865,R1_FC,cluster4
Glyma.01G007700,0.573543755,R1_FC,cluster9
Glyma.01G008900,-0.234348408,R1_FC,cluster3
Glyma.01G009700,-0.484758565,R1_FC,cluster3
Glyma.01G010200,-1.203181231,R1_FC,cluster3
Glyma.01G010300,-0.414904353,R1_FC,cluster3
Glyma.01G010400,0.988876467,R1_FC,cluster9
Glyma.01G010500,1.185612422,R1_FC,cluster4
Glyma.01G015000,0.326359916,R1_FC,cluster9
Glyma.01G015400,-0.307971293,R1_FC,cluster3
Glyma.01G017700,1.009217074,R1_FC,cluster9
Glyma.01G018400,0.351605293,R1_FC,cluster9
Glyma.01G019100,-0.268421076,R1_FC,cluster3
Glyma.01G019300,-0.376905732,R1_FC,cluster3
Glyma.01G019400,-0.359844936,R1_FC,cluster3
Glyma.01G019700,-0.69527313,R1_FC,cluster3
Glyma.01G020900,-0.909085398,R1_FC,cluster3
Glyma.01G022700,-0.501041623,R1_FC,cluster3
Glyma.01G023300,-0.309021909,R1_FC,cluster3
Glyma.01G024000,0.586886989,R1_FC,cluster9
Glyma.01G024700,0.93188722,R1_FC,cluster9
Glyma.01G025300,-0.103626601,R1_FC,cluster3
Glyma.01G026700,-0.48558877,R1_FC,cluster3
Glyma.01G028500,-0.76140261,R1_FC,cluster3
Glyma.01G031500,0.801490127,R1_FC,cluster9
Glyma.01G032600,-0.533765213,R1_FC,cluster6
Glyma.01G033700,-1.150492676,R1_FC,cluster3
Glyma.01G033800,-0.867079792,R1_FC,cluster3
Glyma.01G033900,-1.192396535,R1_FC,cluster3
Glyma.01G034600,3.144133919,R1_FC,cluster8
Glyma.01G034900,-0.739051973,R1_FC,cluster3
Glyma.01G036600,5.753937045,R1_FC,cluster2
Glyma.01G036900,3.149276684,R1_FC,cluster1
Glyma.01G037200,3.894578532,R1_FC,cluster8
Glyma.01G038600,-0.731792153,R1_FC,cluster3
Glyma.01G038700,-0.67258566,R1_FC,cluster3
Glyma.01G040000,-0.40294529,R1_FC,cluster3
Glyma.01G040200,-1.556110054,R1_FC,cluster6
Glyma.01G040900,3.398994504,R1_FC,cluster7
Glyma.01G044100,1.078067732,R1_FC,cluster4
Glyma.01G044200,0.532500368,R1_FC,cluster9
Glyma.01G045500,-0.370557835,R1_FC,cluster3
Glyma.01G049100,-0.53729628,R1_FC,cluster3
Glyma.01G053800,0.732674145,R1_FC,cluster9
Glyma.01G054200,-0.592884629,R1_FC,cluster3
Glyma.01G054400,0.148530822,R1_FC,cluster3
Glyma.01G056100,2.488927137,R1_FC,cluster7
Glyma.01G057400,0.52891587,R1_FC,cluster9
Glyma.01G057500,-0.745616453,R1_FC,cluster3
Glyma.01G058300,-0.370530739,R1_FC,cluster3
Glyma.01G061500,0.872896205,R1_FC,cluster9
Glyma.01G061800,0.588144485,R1_FC,cluster9
Glyma.01G062000,-0.67367413,R1_FC,cluster3
Glyma.01G062600,-1.222435184,R1_FC,cluster6
Glyma.01G063000,0.593397348,R1_FC,cluster9
Glyma.01G063800,-1.055267568,R1_FC,cluster3
Glyma.01G065800,2.125864511,R1_FC,cluster4
Glyma.01G068200,-1.762170115,R1_FC,cluster6
Glyma.01G069000,0.26225161,R1_FC,cluster5
Glyma.01G071300,1.059419315,R1_FC,cluster9
Glyma.01G074500,0.803216934,R1_FC,cluster9
Glyma.01G074600,2.632355751,R1_FC,cluster4
Glyma.01G074800,-0.785545708,R1_FC,cluster3
Glyma.01G076100,-0.991062772,R1_FC,cluster3
Glyma.01G077000,3.581059831,R1_FC,cluster4
Glyma.01G077100,-1.027147,R1_FC,cluster6
Glyma.01G078400,-0.900067616,R1_FC,cluster3
Glyma.01G078800,-1.250469066,R1_FC,cluster6
Glyma.01G081600,0.641507863,R1_FC,cluster9
Glyma.01G082802,1.403598266,R1_FC,cluster4
Glyma.01G083000,1.337000587,R1_FC,cluster9
Glyma.01G084500,-0.298606321,R1_FC,cluster3
Glyma.01G086900,1.529186945,R1_FC,cluster4
Glyma.01G087900,-1.323505179,R1_FC,cluster6
Glyma.01G090400,4.756612829,R1_FC,cluster8
Glyma.01G091400,3.891337708,R1_FC,cluster1
Glyma.01G092900,1.153838441,R1_FC,cluster9
Glyma.01G096000,0.909340112,R1_FC,cluster9
Glyma.01G096800,1.563022411,R1_FC,cluster7
Glyma.01G097400,2.707678056,R1_FC,cluster1
Glyma.01G098000,-0.732303417,R1_FC,cluster3
Glyma.01G102600,1.270654727,R1_FC,cluster4
Glyma.01G102802,-0.501000654,R1_FC,cluster3
Glyma.01G104100,-0.866774381,R1_FC,cluster3
Glyma.01G106000,1.63907128,R1_FC,cluster4
Glyma.01G106100,-2.540488198,R1_FC,cluster6
Glyma.01G106200,-0.348556448,R1_FC,cluster3
Glyma.01G106500,-0.872453113,R1_FC,cluster3
Glyma.01G107951,0.389551546,R1_FC,cluster9
Glyma.01G108200,4.790343346,R1_FC,cluster2
Glyma.01G108700,1.232609833,R1_FC,cluster4
Glyma.01G109200,-0.048801741,R1_FC,cluster3
Glyma.01G109800,0.622011642,R1_FC,cluster9
Glyma.01G111300,0.473073659,R1_FC,cluster9
Glyma.01G112900,-0.397994596,R1_FC,cluster3
Glyma.01G114400,2.238573686,R1_FC,cluster4
Glyma.01G115500,1.537737665,R1_FC,cluster4
Glyma.01G115900,-0.498824938,R1_FC,cluster3
Glyma.01G117900,0.952741083,R1_FC,cluster4
Glyma.01G119300,-0.30805247,R1_FC,cluster3
Glyma.01G121700,-0.675774041,R1_FC,cluster3
Glyma.01G124700,1.093231577,R1_FC,cluster9
Glyma.01G126000,0.462275587,R1_FC,cluster9
Glyma.01G126600,6.130755364,R1_FC,cluster2
Glyma.01G127100,8.72540415,R1_FC,cluster2
Glyma.01G127200,3.279285197,R1_FC,cluster8
Glyma.01G127500,-1.03937602,R1_FC,cluster3
Glyma.01G128100,2.606226609,R1_FC,cluster4
Glyma.01G129100,2.54619386,R1_FC,cluster1
Glyma.01G131100,1.95664007,R1_FC,cluster4
Glyma.01G131500,1.014592534,R1_FC,cluster9
Glyma.01G134600,5.189242134,R1_FC,cluster2
Glyma.01G135200,6.01276672,R1_FC,cluster2
Glyma.01G137500,2.003552294,R1_FC,cluster4
Glyma.01G137700,4.221944231,R1_FC,cluster2
Glyma.01G138800,-0.548486399,R1_FC,cluster3
Glyma.01G139500,-0.563393818,R1_FC,cluster3
Glyma.01G139600,0.272259071,R1_FC,cluster9
Glyma.01G141900,0.084790504,R1_FC,cluster6
Glyma.01G143500,4.76730847,R1_FC,cluster8
Glyma.01G144500,-0.819976363,R1_FC,cluster3
Glyma.01G144700,1.476232635,R1_FC,cluster4
Glyma.01G144900,1.801509782,R1_FC,cluster4
Glyma.01G146300,-1.621971706,R1_FC,cluster3
Glyma.01G147700,-0.602096767,R1_FC,cluster3
Glyma.01G147900,0.792001154,R1_FC,cluster9
Glyma.01G149000,-0.367118209,R1_FC,cluster3
Glyma.01G153000,1.838592913,R1_FC,cluster4
Glyma.01G153300,2.484032723,R1_FC,cluster7
Glyma.01G154400,-0.173068833,R1_FC,cluster3
Glyma.01G154450,2.833210098,R1_FC,cluster7
Glyma.01G154900,-0.847586217,R1_FC,cluster3
Glyma.01G155400,4.832978769,R1_FC,cluster8
Glyma.01G156500,0.615343758,R1_FC,cluster4
Glyma.01G158600,-0.628793806,R1_FC,cluster3
Glyma.01G161100,1.621628,R1_FC,cluster4
Glyma.01G162800,0.458395053,R1_FC,cluster9
Glyma.01G163000,0.30020857,R1_FC,cluster9
Glyma.01G163600,-1.331481215,R1_FC,cluster5
Glyma.01G164000,-0.465833358,R1_FC,cluster3
Glyma.01G164300,0.215904837,R1_FC,cluster9
Glyma.01G164700,-1.268187951,R1_FC,cluster6
Glyma.01G165200,-0.906950308,R1_FC,cluster3
Glyma.01G165400,-0.373203841,R1_FC,cluster3
Glyma.01G168200,-0.936216169,R1_FC,cluster3
Glyma.01G169000,1.319505496,R1_FC,cluster4
Glyma.01G169100,0.731829892,R1_FC,cluster9
Glyma.01G169500,-1.311582409,R1_FC,cluster3
Glyma.01G170600,0.313406274,R1_FC,cluster9
Glyma.01G171900,-1.35442167,R1_FC,cluster3
Glyma.01G172100,2.027416018,R1_FC,cluster1
Glyma.01G172600,3.75156722,R1_FC,cluster8
Glyma.01G172700,2.650710126,R1_FC,cluster4
Glyma.01G172900,0.83179656,R1_FC,cluster9
Glyma.01G173300,-0.570000243,R1_FC,cluster3
Glyma.01G173700,-0.509529886,R1_FC,cluster3
Glyma.01G174102,3.833170381,R1_FC,cluster8
Glyma.01G176400,0.537650351,R1_FC,cluster9
Glyma.01G176600,0.526853554,R1_FC,cluster9
Glyma.01G176800,0.417408772,R1_FC,cluster9
Glyma.01G177700,0.278237629,R1_FC,cluster9
Glyma.01G179600,2.750489654,R1_FC,cluster4
Glyma.01G180100,0.780806977,R1_FC,cluster9
Glyma.01G180432,1.197913479,R1_FC,cluster4
Glyma.01G180800,-0.692022999,R1_FC,cluster3
Glyma.01G181800,2.392606273,R1_FC,cluster1
Glyma.01G182400,1.536147589,R1_FC,cluster4
Glyma.01G183300,1.474769122,R1_FC,cluster9
Glyma.01G185800,0.768016344,R1_FC,cluster9
Glyma.01G187700,2.81524084,R1_FC,cluster7
Glyma.01G187800,1.150384709,R1_FC,cluster4
Glyma.01G188700,0.570758463,R1_FC,cluster9
Glyma.01G189100,0.34498537,R1_FC,cluster9
Glyma.01G190500,1.291623002,R1_FC,cluster9
Glyma.01G190900,-0.519706335,R1_FC,cluster3
Glyma.01G191300,3.565209946,R1_FC,cluster7
Glyma.01G191600,-1.211918776,R1_FC,cluster3
Glyma.01G193600,1.319900534,R1_FC,cluster4
Glyma.01G194700,-0.889992453,R1_FC,cluster3
Glyma.01G195000,-1.649607479,R1_FC,cluster6
Glyma.01G195300,4.576933679,R1_FC,cluster8
Glyma.01G196600,-0.575768247,R1_FC,cluster3
Glyma.01G197500,-0.41939368,R1_FC,cluster3
Glyma.01G197800,-0.497996792,R1_FC,cluster3
Glyma.01G198300,1.371041614,R1_FC,cluster9
Glyma.01G199700,-1.261431865,R1_FC,cluster6
Glyma.01G201000,-0.570955129,R1_FC,cluster3
Glyma.01G202000,2.630374295,R1_FC,cluster4
Glyma.01G202100,5.52507781,R1_FC,cluster2
Glyma.01G202200,3.864966396,R1_FC,cluster8
Glyma.01G203500,2.041585998,R1_FC,cluster4
Glyma.01G204400,0.836100348,R1_FC,cluster9
Glyma.01G205200,0.243894287,R1_FC,cluster9
Glyma.01G205400,-0.904296926,R1_FC,cluster3
Glyma.01G206700,1.986019069,R1_FC,cluster4
Glyma.01G210400,3.503332746,R1_FC,cluster7
Glyma.01G210700,-0.617744159,R1_FC,cluster6
Glyma.01G210800,-0.50029212,R1_FC,cluster3
Glyma.01G211800,4.120588626,R1_FC,cluster1
Glyma.01G211900,0.792168507,R1_FC,cluster9
Glyma.01G212100,3.828313545,R1_FC,cluster7
Glyma.01G215100,3.120285483,R1_FC,cluster8
Glyma.01G215400,-0.368530375,R1_FC,cluster3
Glyma.01G217200,1.231815606,R1_FC,cluster9
Glyma.01G217300,-0.742237069,R1_FC,cluster3
Glyma.01G217400,-0.558344649,R1_FC,cluster3
Glyma.01G217600,6.053502263,R1_FC,cluster2
Glyma.01G217700,2.582676273,R1_FC,cluster1
Glyma.01G217900,0.359266665,R1_FC,cluster9
Glyma.01G218600,0.06499966,R1_FC,cluster9
Glyma.01G219400,1.845747466,R1_FC,cluster4
Glyma.01G219502,-0.868472589,R1_FC,cluster3
Glyma.01G220600,-0.65661438,R1_FC,cluster3
Glyma.01G221200,1.860276004,R1_FC,cluster7
Glyma.01G221400,-1.045323027,R1_FC,cluster6
Glyma.01G221800,-0.987824222,R1_FC,cluster3
Glyma.01G224800,2.866223834,R1_FC,cluster7
Glyma.01G226502,-0.901766053,R1_FC,cluster3
Glyma.01G226900,1.038336623,R1_FC,cluster9
Glyma.01G227400,-0.833493764,R1_FC,cluster3
Glyma.01G228200,0.204117085,R1_FC,cluster9
Glyma.01G228600,4.871752434,R1_FC,cluster8
Glyma.01G228700,3.266762217,R1_FC,cluster1
Glyma.01G229200,-0.916026093,R1_FC,cluster3
Glyma.01G229800,-1.002347064,R1_FC,cluster3
Glyma.01G230900,1.515431278,R1_FC,cluster4
Glyma.01G231900,-0.746830233,R1_FC,cluster3
Glyma.01G235600,3.230528065,R1_FC,cluster8
Glyma.01G236100,0.456719628,R1_FC,cluster9
Glyma.01G236200,4.084711639,R1_FC,cluster1
Glyma.01G236500,2.072126991,R1_FC,cluster4
Glyma.01G237000,-1.087730026,R1_FC,cluster6
Glyma.01G238000,-0.533332147,R1_FC,cluster3
Glyma.01G238600,-1.172614254,R1_FC,cluster6
Glyma.01G238800,3.223903613,R1_FC,cluster1
Glyma.01G239500,1.310550174,R1_FC,cluster4
Glyma.01G239600,3.552244634,R1_FC,cluster8
Glyma.01G240300,4.08406523,R1_FC,cluster1
Glyma.01G241500,-1.160844655,R1_FC,cluster6
Glyma.01G241700,2.431109332,R1_FC,cluster4
Glyma.01G242200,0.665747856,R1_FC,cluster9
Glyma.01G242902,0.69668093,R1_FC,cluster9
Glyma.01G244000,4.256487732,R1_FC,cluster8
Glyma.01G244500,0.677990618,R1_FC,cluster9
Glyma.01G245500,-0.300651154,R1_FC,cluster3
Glyma.02G000400,0.403420458,R1_FC,cluster9
Glyma.02G000500,-0.243508039,R1_FC,cluster3
Glyma.02G000700,-0.2930124,R1_FC,cluster3
Glyma.02G001000,-0.588759877,R1_FC,cluster3
Glyma.02G001100,-0.428366147,R1_FC,cluster3
Glyma.02G001900,-0.25969451,R1_FC,cluster3
Glyma.02G002000,-0.820947995,R1_FC,cluster3
Glyma.02G002100,3.13247446,R1_FC,cluster7
Glyma.02G002900,-0.626805205,R1_FC,cluster3
Glyma.02G004000,-0.117720494,R1_FC,cluster3
Glyma.02G004600,-0.698155601,R1_FC,cluster3
Glyma.02G005600,4.153352805,R1_FC,cluster8
Glyma.02G006200,2.478241225,R1_FC,cluster5
Glyma.02G006600,-0.613721092,R1_FC,cluster3
Glyma.02G007400,1.732019571,R1_FC,cluster4
Glyma.02G008000,0.780923913,R1_FC,cluster9
Glyma.02G009300,5.560284657,R1_FC,cluster1
Glyma.02G009751,3.203119745,R1_FC,cluster1
Glyma.02G009800,3.322497946,R1_FC,cluster8
Glyma.02G010900,1.702432116,R1_FC,cluster4
Glyma.02G011600,1.320008029,R1_FC,cluster7
