Description,pvalue,cluster
GO:0009699_phenylpropanoid biosynthetic process,0.000000086,1
GO:0010310_regulation of hydrogen peroxide metabolic process,0.00000018,1
GO:0009813_flavonoid biosynthetic process,0.000002,1
"GO:0009862_systemic acquired resistance, salicylic acid mediated signaling pathway",0.000002,1
GO:0051704_multi-organism process,0.0000092,1
GO:0001666_response to hypoxia,0.000021,1
GO:0010200_response to chitin,0.00004,1
GO:0044283_small molecule biosynthetic process,0.0002,1
GO:0002215_defense response to nematode,0.00028,1
GO:0050832_defense response to fungus,0.00032,1
GO:0031640_killing of cells of other organism,0.00033,1
GO:0009595_detection of biotic stimulus,0.00034,1
GO:0009611_response to wounding,0.00036,1
GO:0009743_response to carbohydrate,0.00042,1
GO:0009701_isoflavonoid phytoalexin biosynthetic process,0.00042,1
GO:0080027_response to herbivore,0.00079,1
GO:0009695_jasmonic acid biosynthetic process,0.0008,1
GO:0009753_response to jasmonic acid,0.00109,1
GO:0044036_cell wall macromolecule metabolic process,0.00143,1
GO:0009805_coumarin biosynthetic process,0.00154,1
GO:0002679_respiratory burst involved in defense response,0.00185,1
GO:0046274_lignin catabolic process,0.0022,1
GO:0009612_response to mechanical stimulus,0.00236,1
GO:0030968_endoplasmic reticulum unfolded protein response,0.00261,1
GO:0010117_photoprotection,0.00287,1
GO:0009807_lignan biosynthetic process,0.00287,1
GO:1900378_positive regulation of secondary metabolite biosynthetic process,0.00307,1
GO:0080113_regulation of seed growth,0.00327,1
GO:0010089_xylem development,0.00343,1
GO:0006950_response to stress,0.00357,1
GO:0009696_salicylic acid metabolic process,0.0036,1
GO:0010363_regulation of plant-type hypersensitive response,0.00362,1
GO:0042742_defense response to bacterium,0.00365,1
GO:0010052_guard cell differentiation,0.0037,1
GO:0010023_proanthocyanidin biosynthetic process,0.0037,1
GO:0009751_response to salicylic acid,0.00389,1
GO:0042744_hydrogen peroxide catabolic process,0.00431,1
GO:0009963_positive regulation of flavonoid biosynthetic process,0.00485,1
GO:0009803_cinnamic acid metabolic process,0.00563,1
GO:0006612_protein targeting to membrane,0.00618,1
GO:0009651_response to salt stress,0.00671,1
GO:0042178_xenobiotic catabolic process,0.00673,1
GO:0098754_detoxification,0.00689,1
GO:0045793_positive regulation of cell size,0.00732,1
GO:0000165_MAPK cascade,0.00739,1
GO:0006979_response to oxidative stress,0.00791,1
GO:0009877_nodulation,0.00793,1
GO:0009873_ethylene-activated signaling pathway,0.00853,1
GO:0009607_response to biotic stimulus,0.00888,1
GO:0046189_phenol-containing compound biosynthetic process,0.0092,1
GO:0015718_monocarboxylic acid transport,0.00988,1
GO:0006984_ER-nucleus signaling pathway,0.0102,1
GO:0090617_mitochondrial mRNA 5'-end processing,0.0107,1
GO:0019500_cyanide catabolic process,0.0107,1
GO:0120255_olefinic compound biosynthetic process,0.0138,1
GO:2000762_regulation of phenylpropanoid metabolic process,0.014,1
GO:0006520_cellular amino acid metabolic process,0.0149,1
GO:0048653_anther development,0.0156,1
GO:0046680_response to DDT,0.016,1
GO:0000032_cell wall mannoprotein biosynthetic process,0.016,1
GO:0031506_cell wall glycoprotein biosynthetic process,0.016,1
"GO:0009836_fruit ripening, climacteric",0.016,1
GO:0006056_mannoprotein metabolic process,0.016,1
GO:0006057_mannoprotein biosynthetic process,0.016,1
GO:0009867_jasmonic acid mediated signaling pathway,0.0173,1
GO:0071395_cellular response to jasmonic acid stimulus,0.0177,1
GO:0015770_sucrose transport,0.0178,1
GO:0071398_cellular response to fatty acid,0.0178,1
GO:0015766_disaccharide transport,0.0187,1
GO:0015772_oligosaccharide transport,0.0187,1
GO:0010043_response to zinc ion,0.0189,1
GO:0010584_pollen exine formation,0.0191,1
GO:2000280_regulation of root development,0.0196,1
GO:0019499_cyanide metabolic process,0.0213,1
GO:0051410_detoxification of nitrogen compound,0.0213,1
GO:0080110_sporopollenin biosynthetic process,0.0213,1
GO:0006857_oligopeptide transport,0.022,1
GO:0009267_cellular response to starvation,0.0221,1
GO:0006749_glutathione metabolic process,0.0221,1
GO:0010224_response to UV-B,0.0222,1
GO:0035264_multicellular organism growth,0.0224,1
GO:0098869_cellular oxidant detoxification,0.0235,1
GO:0006820_anion transport,0.0238,1
GO:0048544_recognition of pollen,0.0242,1
GO:0009697_salicylic acid biosynthetic process,0.0246,1
GO:0006952_defense response,0.0247,1
