geneId,Family,cluster
Glyma.01G211800,NA,cluster1
Glyma.11G070200,NA,cluster1
Glyma.19G213100,ERF,cluster1
Glyma.03G181700,NA,cluster1
Glyma.06G123800,NA,cluster1
Glyma.20G245100,NA,cluster1
Glyma.01G036900,NA,cluster1
Glyma.01G004800,NA,cluster1
Glyma.01G091400,NA,cluster1
Glyma.01G097400,NA,cluster1
Glyma.01G129100,NA,cluster1
Glyma.01G172100,NA,cluster1
Glyma.01G181800,NA,cluster1
Glyma.01G217700,NA,cluster1
Glyma.01G228700,NA,cluster1
Glyma.01G236200,NA,cluster1
Glyma.01G238800,NA,cluster1
Glyma.01G240300,NA,cluster1
Glyma.02G009300,NA,cluster1
Glyma.02G009751,NA,cluster1
Glyma.02G023800,NA,cluster1
Glyma.02G028400,NA,cluster1
Glyma.02G028600,NA,cluster1
Glyma.02G028800,NA,cluster1
Glyma.02G089500,NA,cluster1
Glyma.02G128800,NA,cluster1
Glyma.02G130400,NA,cluster1
Glyma.02G132200,NA,cluster1
Glyma.02G300400,NA,cluster1
Glyma.03G073200,NA,cluster1
Glyma.03G073776,NA,cluster1
Glyma.03G125600,NA,cluster1
Glyma.03G142400,bZIP,cluster1
Glyma.03G147700,NA,cluster1
Glyma.03G160600,NA,cluster1
Glyma.03G165800,NA,cluster1
Glyma.03G168900,NA,cluster1
Glyma.03G263000,NA,cluster1
Glyma.04G065800,NA,cluster1
Glyma.04G165400,NA,cluster1
Glyma.05G103700,NA,cluster1
Glyma.05G161600,NA,cluster1
Glyma.05G195000,NAC,cluster1
Glyma.06G041300,NA,cluster1
Glyma.06G061900,WRKY,cluster1
Glyma.06G110700,NA,cluster1
Glyma.06G257702,NA,cluster1
Glyma.06G260200,NA,cluster1
Glyma.06G262000,NA,cluster1
Glyma.06G297800,NA,cluster1
Glyma.06G303100,MYB_related,cluster1
Glyma.07G098900,NA,cluster1
Glyma.07G099000,NA,cluster1
Glyma.07G110300,NA,cluster1
Glyma.07G140700,NA,cluster1
Glyma.08G004300,NA,cluster1
Glyma.08G034500,NA,cluster1
Glyma.08G087900,NA,cluster1
Glyma.08G109500,NA,cluster1
Glyma.08G110500,NA,cluster1
Glyma.08G114700,NA,cluster1
Glyma.08G170800,NA,cluster1
Glyma.08G180400,NA,cluster1
