Model ,TF_Name,TF_Predicted,PredictionAccuracy ,Family
AT1G68320,MYB62,AT2G32460,58.82,MYB
AT1G68320,MYB62,AT3G02940,83.55,MYB
AT1G68320,MYB62,AT3G06490,97.86,MYB
AT1G68320,MYB62,AT5G02320,49.85,MYB
AT1G68320,MYB62,AT5G58850,49.79,MYB
AT5G58850,MYB119,AT1G68320,50.1,MYB
AT5G58850,MYB119,AT2G32460,70.22,MYB
AT5G58850,MYB119,AT3G02940,49.73,MYB
AT5G58850,MYB119,AT5G02320,50.26,MYB
AT5G58850,MYB119,AT5G58850,84.76,MYB
AT3G06490,MYB108,AT1G68320,88.39,MYB
AT3G06490,MYB108,AT2G32460,62.76,MYB
AT3G06490,MYB108,AT3G02940,75.58,MYB
AT3G06490,MYB108,AT5G02320,49.61,MYB
AT3G06490,MYB108,AT5G58850,52.53,MYB
AT5G24110,WRKY30,AT1G30650,97,WRKY
AT5G24110,WRKY30,AT1G80840,75,WRKY
AT5G24110,WRKY30,AT2G03340,84,WRKY
AT5G24110,WRKY30,AT2G23320,98,WRKY
AT5G24110,WRKY30,AT2G30250,87,WRKY
AT5G24110,WRKY30,AT2G30590,97,WRKY
AT5G24110,WRKY30,AT2G38470,88,WRKY
AT5G24110,WRKY30,AT3G01970,89,WRKY
AT5G24110,WRKY30,AT4G01250,91,WRKY
AT5G24110,WRKY30,AT4G18170,76,WRKY
AT5G24110,WRKY30,AT4G22070,94,WRKY
AT5G24110,WRKY30,AT4G23550,87,WRKY
AT5G24110,WRKY30,AT4G26640,87,WRKY
AT5G24110,WRKY30,AT4G31800,77,WRKY
AT5G24110,WRKY30,AT5G24110,99,WRKY
AT5G24110,WRKY30,AT5G41570,93,WRKY
AT5G24110,WRKY30,AT5G52830,91,WRKY
AT1G76420,NAC031,AT1G01720,75.58,NAC
AT1G76420,NAC031,AT1G02230,69.82,NAC
AT1G76420,NAC031,AT1G34180,78.99,NAC
AT1G76420,NAC031,AT1G52880,87.3,NAC
AT1G76420,NAC031,AT1G65910,87.42,NAC
AT1G76420,NAC031,AT1G69490,89.12,NAC
AT1G76420,NAC031,AT3G10480,90.19,NAC
AT1G76420,NAC031,AT3G10500,90.13,NAC
AT1G76420,NAC031,AT3G15170,95.12,NAC
AT1G76420,NAC031,AT3G15500,82.38,NAC
AT1G76420,NAC031,AT3G17730,94.26,NAC
AT1G76420,NAC031,AT3G49530,74.45,NAC
AT1G76420,NAC031,AT5G04410,83.69,NAC
AT1G76420,NAC031,AT5G39820,71.85,NAC
AT1G76420,NAC031,AT5G53950,95.82,NAC
AT3G17730,NAC057,AT1G01720,57.19,NAC
AT3G17730,NAC057,AT1G02230,72.68,NAC
AT3G17730,NAC057,AT1G34180,81.13,NAC
AT3G17730,NAC057,AT1G52880,63.45,NAC
AT3G17730,NAC057,AT1G65910,91.28,NAC
AT3G17730,NAC057,AT1G69490,71.65,NAC
AT3G17730,NAC057,AT3G10480,80.14,NAC
AT3G17730,NAC057,AT3G10500,93.84,NAC
AT3G17730,NAC057,AT3G15170,94.64,NAC
AT3G17730,NAC057,AT3G15500,88.88,NAC
AT3G17730,NAC057,AT3G17730,58.41,NAC
AT3G17730,NAC057,AT3G49530,75.09,NAC
AT3G17730,NAC057,AT5G04410,87,NAC
AT3G17730,NAC057,AT5G39820,71.1,NAC
AT3G17730,NAC057,AT5G53950,87.05,NAC
AT3G10500,NAC053,AT1G01720,54.74,NAC
AT3G10500,NAC053,AT1G02230,72.25,NAC
AT3G10500,NAC053,AT1G34180,80.38,NAC
AT3G10500,NAC053,AT1G52880,59.14,NAC
AT3G10500,NAC053,AT1G65910,87.31,NAC
AT3G10500,NAC053,AT1G69490,65.15,NAC
AT3G10500,NAC053,AT1G76420,75.27,NAC
AT3G10500,NAC053,AT3G10480,93.67,NAC
AT3G10500,NAC053,AT3G15170,86.54,NAC
AT3G10500,NAC053,AT3G15500,56.2,NAC
AT3G10500,NAC053,AT3G17730,94.38,NAC
AT3G10500,NAC053,AT3G49530,75.4,NAC
AT3G10500,NAC053,AT5G04410,91.88,NAC
AT3G10500,NAC053,AT5G39820,64.86,NAC
AT3G10500,NAC053,AT5G53950,83.34,NAC
