geneId,Sample,Binding
Glyma.01G002200,WRKY_M1,no
Glyma.01G002902,WRKY_M1,no
Glyma.01G004200,WRKY_M1,no
Glyma.01G004600,WRKY_M1,no
Glyma.01G004800,WRKY_M1,no
Glyma.01G005000,WRKY_M1,no
Glyma.01G005500,WRKY_M1,no
Glyma.01G007200,WRKY_M1,no
Glyma.01G007300,WRKY_M1,no
Glyma.01G007400,WRKY_M1,no
Glyma.01G007500,WRKY_M1,no
Glyma.01G007700,WRKY_M1,no
Glyma.01G008900,WRKY_M1,no
Glyma.01G009700,WRKY_M1,no
Glyma.01G010200,WRKY_M1,no
Glyma.01G010300,WRKY_M1,no
Glyma.01G010400,WRKY_M1,no
Glyma.01G010500,WRKY_M1,no
Glyma.01G015000,WRKY_M1,no
Glyma.01G015400,WRKY_M1,no
Glyma.01G017700,WRKY_M1,no
Glyma.01G018400,WRKY_M1,no
Glyma.01G019100,WRKY_M1,no
Glyma.01G019300,WRKY_M1,no
Glyma.01G019400,WRKY_M1,no
Glyma.01G019700,WRKY_M1,no
Glyma.01G020900,WRKY_M1,no
Glyma.01G022700,WRKY_M1,no
Glyma.01G023300,WRKY_M1,no
Glyma.01G024000,WRKY_M1,no
Glyma.01G024700,WRKY_M1,no
Glyma.01G025300,WRKY_M1,no
Glyma.01G026700,WRKY_M1,no
Glyma.01G028500,WRKY_M1,no
Glyma.01G031500,WRKY_M1,no
Glyma.01G032600,WRKY_M1,no
Glyma.01G033700,WRKY_M1,no
Glyma.01G033800,WRKY_M1,no
Glyma.01G033900,WRKY_M1,no
Glyma.01G034600,WRKY_M1,no
Glyma.01G034900,WRKY_M1,no
Glyma.01G036600,WRKY_M1,no
Glyma.01G036900,WRKY_M1,no
Glyma.01G037200,WRKY_M1,no
Glyma.01G038600,WRKY_M1,no
Glyma.01G038700,WRKY_M1,no
Glyma.01G040000,WRKY_M1,no
Glyma.01G040200,WRKY_M1,no
Glyma.01G040900,WRKY_M1,no
Glyma.01G044100,WRKY_M1,no
Glyma.01G044200,WRKY_M1,no
Glyma.01G045500,WRKY_M1,no
Glyma.01G049100,WRKY_M1,no
Glyma.01G053800,WRKY_M1,no
Glyma.01G054200,WRKY_M1,no
Glyma.01G054400,WRKY_M1,no
Glyma.01G056100,WRKY_M1,no
Glyma.01G057400,WRKY_M1,no
Glyma.01G057500,WRKY_M1,no
Glyma.01G058300,WRKY_M1,no
Glyma.01G061500,WRKY_M1,no
Glyma.01G061800,WRKY_M1,no
Glyma.01G062000,WRKY_M1,no
Glyma.01G062600,WRKY_M1,no
Glyma.01G063000,WRKY_M1,no
Glyma.01G063800,WRKY_M1,no
Glyma.01G065800,WRKY_M1,no
Glyma.01G068200,WRKY_M1,no
Glyma.01G069000,WRKY_M1,no
Glyma.01G071300,WRKY_M1,no
Glyma.01G074500,WRKY_M1,no
Glyma.01G074600,WRKY_M1,no
Glyma.01G074800,WRKY_M1,no
Glyma.01G076100,WRKY_M1,no
Glyma.01G077000,WRKY_M1,no
Glyma.01G077100,WRKY_M1,no
Glyma.01G078400,WRKY_M1,no
Glyma.01G078800,WRKY_M1,no
Glyma.01G081600,WRKY_M1,no
Glyma.01G082802,WRKY_M1,no
Glyma.01G083000,WRKY_M1,no
Glyma.01G084500,WRKY_M1,no
Glyma.01G086900,WRKY_M1,no
Glyma.01G087900,WRKY_M1,no
Glyma.01G090400,WRKY_M1,no
Glyma.01G091400,WRKY_M1,no
Glyma.01G092900,WRKY_M1,no
Glyma.01G096000,WRKY_M1,no
Glyma.01G096800,WRKY_M1,no
Glyma.01G097400,WRKY_M1,no
Glyma.01G098000,WRKY_M1,no
Glyma.01G102600,WRKY_M1,no
Glyma.01G102802,WRKY_M1,no
Glyma.01G104100,WRKY_M1,no
Glyma.01G106000,WRKY_M1,no
Glyma.01G106100,WRKY_M1,no
Glyma.01G106200,WRKY_M1,no
Glyma.01G106500,WRKY_M1,no
Glyma.01G107951,WRKY_M1,no
Glyma.01G108200,WRKY_M1,no
Glyma.01G108700,WRKY_M1,no
Glyma.01G109200,WRKY_M1,no
Glyma.01G109800,WRKY_M1,no
Glyma.01G111300,WRKY_M1,no
Glyma.01G112900,WRKY_M1,no
Glyma.01G114400,WRKY_M1,no
Glyma.01G115500,WRKY_M1,no
Glyma.01G115900,WRKY_M1,no
Glyma.01G117900,WRKY_M1,no
Glyma.01G119300,WRKY_M1,no
Glyma.01G121700,WRKY_M1,no
Glyma.01G124700,WRKY_M1,no
Glyma.01G126000,WRKY_M1,no
Glyma.01G126600,WRKY_M1,no
Glyma.01G127100,WRKY_M1,no
Glyma.01G127200,WRKY_M1,no
Glyma.01G127500,WRKY_M1,no
Glyma.01G128100,WRKY_M1,no
Glyma.01G129100,WRKY_M1,no
Glyma.01G131100,WRKY_M1,no
Glyma.01G131500,WRKY_M1,no
Glyma.01G134600,WRKY_M1,no
Glyma.01G135200,WRKY_M1,no
Glyma.01G137500,WRKY_M1,no
Glyma.01G137700,WRKY_M1,no
Glyma.01G138800,WRKY_M1,no
Glyma.01G139500,WRKY_M1,no
Glyma.01G139600,WRKY_M1,no
Glyma.01G141900,WRKY_M1,no
Glyma.01G143500,WRKY_M1,no
Glyma.01G144500,WRKY_M1,no
Glyma.01G144700,WRKY_M1,no
Glyma.01G144900,WRKY_M1,no
Glyma.01G146300,WRKY_M1,no
Glyma.01G147700,WRKY_M1,no
Glyma.01G147900,WRKY_M1,no
Glyma.01G149000,WRKY_M1,no
Glyma.01G153000,WRKY_M1,no
Glyma.01G153300,WRKY_M1,no
Glyma.01G154400,WRKY_M1,no
Glyma.01G154450,WRKY_M1,no
Glyma.01G154900,WRKY_M1,no
Glyma.01G155400,WRKY_M1,no
Glyma.01G156500,WRKY_M1,no
Glyma.01G158600,WRKY_M1,no
Glyma.01G161100,WRKY_M1,no
Glyma.01G162800,WRKY_M1,no
Glyma.01G163000,WRKY_M1,no
Glyma.01G163600,WRKY_M1,no
Glyma.01G164000,WRKY_M1,no
Glyma.01G164300,WRKY_M1,no
Glyma.01G164700,WRKY_M1,no
Glyma.01G165200,WRKY_M1,no
Glyma.01G165400,WRKY_M1,no
Glyma.01G168200,WRKY_M1,no
Glyma.01G169000,WRKY_M1,no
Glyma.01G169100,WRKY_M1,no
Glyma.01G169500,WRKY_M1,no
Glyma.01G170600,WRKY_M1,no
Glyma.01G171900,WRKY_M1,no
Glyma.01G172100,WRKY_M1,no
Glyma.01G172600,WRKY_M1,no
Glyma.01G172700,WRKY_M1,yes
Glyma.01G172900,WRKY_M1,no
Glyma.01G173300,WRKY_M1,no
Glyma.01G173700,WRKY_M1,no
Glyma.01G174102,WRKY_M1,no
Glyma.01G176400,WRKY_M1,no
Glyma.01G176600,WRKY_M1,no
Glyma.01G176800,WRKY_M1,no
Glyma.01G177700,WRKY_M1,no
Glyma.01G179600,WRKY_M1,no
Glyma.01G180100,WRKY_M1,no
Glyma.01G180432,WRKY_M1,no
Glyma.01G180800,WRKY_M1,no
Glyma.01G181800,WRKY_M1,no
Glyma.01G182400,WRKY_M1,no
Glyma.01G183300,WRKY_M1,no
Glyma.01G185800,WRKY_M1,no
Glyma.01G187700,WRKY_M1,no
Glyma.01G187800,WRKY_M1,no
Glyma.01G188700,WRKY_M1,no
Glyma.01G189100,WRKY_M1,no
Glyma.01G190500,WRKY_M1,no
Glyma.01G190900,WRKY_M1,no
Glyma.01G191300,WRKY_M1,no
Glyma.01G191600,WRKY_M1,no
Glyma.01G193600,WRKY_M1,no
Glyma.01G194700,WRKY_M1,no
Glyma.01G195000,WRKY_M1,no
Glyma.01G195300,WRKY_M1,no
Glyma.01G196600,WRKY_M1,no
Glyma.01G197500,WRKY_M1,no
Glyma.01G197800,WRKY_M1,no
Glyma.01G198300,WRKY_M1,no
Glyma.01G199700,WRKY_M1,no
Glyma.01G201000,WRKY_M1,no
Glyma.01G202000,WRKY_M1,no
Glyma.01G202100,WRKY_M1,no
Glyma.01G202200,WRKY_M1,no
Glyma.01G203500,WRKY_M1,no
Glyma.01G204400,WRKY_M1,no
Glyma.01G205200,WRKY_M1,no
Glyma.01G205400,WRKY_M1,no
Glyma.01G206700,WRKY_M1,no
Glyma.01G210400,WRKY_M1,no
Glyma.01G210700,WRKY_M1,no
Glyma.01G210800,WRKY_M1,no
Glyma.01G211800,WRKY_M1,no
Glyma.01G211900,WRKY_M1,no
Glyma.01G212100,WRKY_M1,no
Glyma.01G215100,WRKY_M1,no
Glyma.01G215400,WRKY_M1,no
Glyma.01G217200,WRKY_M1,no
Glyma.01G217300,WRKY_M1,no
Glyma.01G217400,WRKY_M1,no
Glyma.01G217600,WRKY_M1,no
Glyma.01G217700,WRKY_M1,no
Glyma.01G217900,WRKY_M1,no
Glyma.01G218600,WRKY_M1,no
Glyma.01G219400,WRKY_M1,no
Glyma.01G219502,WRKY_M1,no
Glyma.01G220600,WRKY_M1,no
Glyma.01G221200,WRKY_M1,no
Glyma.01G221400,WRKY_M1,no
Glyma.01G221800,WRKY_M1,no
Glyma.01G224800,WRKY_M1,no
Glyma.01G226502,WRKY_M1,no
Glyma.01G226900,WRKY_M1,no
Glyma.01G227400,WRKY_M1,no
Glyma.01G228200,WRKY_M1,no
Glyma.01G228600,WRKY_M1,no
Glyma.01G228700,WRKY_M1,no
Glyma.01G229200,WRKY_M1,no
Glyma.01G229800,WRKY_M1,no
Glyma.01G230900,WRKY_M1,no
Glyma.01G231900,WRKY_M1,no
Glyma.01G235600,WRKY_M1,no
Glyma.01G236100,WRKY_M1,no
Glyma.01G236200,WRKY_M1,no
Glyma.01G236500,WRKY_M1,no
Glyma.01G237000,WRKY_M1,no
Glyma.01G238000,WRKY_M1,no
Glyma.01G238600,WRKY_M1,no
Glyma.01G238800,WRKY_M1,no
Glyma.01G239500,WRKY_M1,no
Glyma.01G239600,WRKY_M1,no
Glyma.01G240300,WRKY_M1,no
Glyma.01G241500,WRKY_M1,no
Glyma.01G241700,WRKY_M1,no
Glyma.01G242200,WRKY_M1,no
Glyma.01G242902,WRKY_M1,no
Glyma.01G244000,WRKY_M1,no
Glyma.01G244500,WRKY_M1,no
Glyma.01G245500,WRKY_M1,no
Glyma.02G000400,WRKY_M1,no
Glyma.02G000500,WRKY_M1,no
Glyma.02G000700,WRKY_M1,no
Glyma.02G001000,WRKY_M1,no
Glyma.02G001100,WRKY_M1,no
Glyma.02G001900,WRKY_M1,no
Glyma.02G002000,WRKY_M1,no
Glyma.02G002100,WRKY_M1,no
Glyma.02G002900,WRKY_M1,no
Glyma.02G004000,WRKY_M1,no
Glyma.02G004600,WRKY_M1,no
Glyma.02G005600,WRKY_M1,no
Glyma.02G006200,WRKY_M1,no
Glyma.02G006600,WRKY_M1,no
Glyma.02G007400,WRKY_M1,no
Glyma.02G008000,WRKY_M1,no
Glyma.02G009300,WRKY_M1,no
Glyma.02G009751,WRKY_M1,no
Glyma.02G009800,WRKY_M1,no
Glyma.02G010900,WRKY_M1,no
Glyma.02G011600,WRKY_M1,no
Glyma.02G011800,WRKY_M1,no
Glyma.02G011900,WRKY_M1,no
Glyma.02G012400,WRKY_M1,no
Glyma.02G012700,WRKY_M1,no
Glyma.02G013200,WRKY_M1,no
Glyma.02G013402,WRKY_M1,no
Glyma.02G013700,WRKY_M1,no
Glyma.02G014000,WRKY_M1,no
Glyma.02G014800,WRKY_M1,no
Glyma.02G015900,WRKY_M1,no
Glyma.02G016100,WRKY_M1,no
Glyma.02G016400,WRKY_M1,no
Glyma.02G017100,WRKY_M1,no
Glyma.02G017500,WRKY_M1,no
Glyma.02G019200,WRKY_M1,no
Glyma.02G019400,WRKY_M1,no
Glyma.02G019600,WRKY_M1,no
Glyma.02G021600,WRKY_M1,no
Glyma.02G022200,WRKY_M1,no
Glyma.02G022400,WRKY_M1,no
Glyma.02G023800,WRKY_M1,no
Glyma.02G023900,WRKY_M1,no
Glyma.02G024200,WRKY_M1,no
Glyma.02G024500,WRKY_M1,no
Glyma.02G024600,WRKY_M1,no
Glyma.02G024800,WRKY_M1,no
Glyma.02G026300,WRKY_M1,no
Glyma.02G026500,WRKY_M1,no
Glyma.02G027800,WRKY_M1,no
Glyma.02G028400,WRKY_M1,no
Glyma.02G028600,WRKY_M1,no
Glyma.02G028700,WRKY_M1,no
Glyma.02G028800,WRKY_M1,no
Glyma.02G029400,WRKY_M1,no
Glyma.02G031100,WRKY_M1,no
Glyma.02G032200,WRKY_M1,no
Glyma.02G034000,WRKY_M1,no
Glyma.02G035000,WRKY_M1,no
Glyma.02G035200,WRKY_M1,no
Glyma.02G036000,WRKY_M1,no
Glyma.02G036100,WRKY_M1,no
Glyma.02G036500,WRKY_M1,no
Glyma.02G038100,WRKY_M1,no
Glyma.02G039400,WRKY_M1,no
Glyma.02G041900,WRKY_M1,no
Glyma.02G042500,WRKY_M1,no
Glyma.02G044500,WRKY_M1,no
Glyma.02G047000,WRKY_M1,no
Glyma.02G047600,WRKY_M1,no
Glyma.02G048400,WRKY_M1,no
Glyma.02G048800,WRKY_M1,no
Glyma.02G049600,WRKY_M1,no
Glyma.02G049700,WRKY_M1,no
Glyma.02G049800,WRKY_M1,no
