geneId,Family,Family_Binding
Glyma.01G002200,bHLH,No
Glyma.01G002902,bHLH,No
Glyma.01G004200,bHLH,No
Glyma.01G004600,bHLH,No
Glyma.01G004800,bHLH,No
Glyma.01G005000,bHLH,No
Glyma.01G005500,bHLH,No
Glyma.01G007200,bHLH,No
Glyma.01G007300,bHLH,No
Glyma.01G007400,bHLH,No
Glyma.01G007500,bHLH,No
Glyma.01G007700,bHLH,No
Glyma.01G008900,bHLH,No
Glyma.01G009700,bHLH,No
Glyma.01G010200,bHLH,No
Glyma.01G010300,bHLH,No
Glyma.01G010400,bHLH,No
Glyma.01G010500,bHLH,No
Glyma.01G015000,bHLH,No
Glyma.01G015400,bHLH,Yes
Glyma.01G017700,bHLH,No
Glyma.01G018400,bHLH,No
Glyma.01G019100,bHLH,No
Glyma.01G019300,bHLH,No
Glyma.01G019400,bHLH,No
Glyma.01G019700,bHLH,Yes
Glyma.01G020900,bHLH,No
Glyma.01G022700,bHLH,Yes
Glyma.01G023300,bHLH,No
Glyma.01G024000,bHLH,Yes
Glyma.01G024700,bHLH,Yes
Glyma.01G025300,bHLH,Yes
Glyma.01G026700,bHLH,Yes
Glyma.01G028500,bHLH,No
Glyma.01G031500,bHLH,No
Glyma.01G032600,bHLH,Yes
Glyma.01G033700,bHLH,No
Glyma.01G033800,bHLH,Yes
Glyma.01G033900,bHLH,No
Glyma.01G034600,bHLH,Yes
Glyma.01G034900,bHLH,No
Glyma.01G036600,bHLH,No
Glyma.01G036900,bHLH,No
Glyma.01G037200,bHLH,No
Glyma.01G038600,bHLH,No
Glyma.01G038700,bHLH,No
Glyma.01G040000,bHLH,Yes
Glyma.01G040200,bHLH,No
Glyma.01G040900,bHLH,No
Glyma.01G044100,bHLH,No
Glyma.01G044200,bHLH,No
Glyma.01G045500,bHLH,No
Glyma.01G049100,bHLH,Yes
Glyma.01G053800,bHLH,Yes
Glyma.01G054200,bHLH,No
Glyma.01G054400,bHLH,No
Glyma.01G056100,bHLH,No
Glyma.01G057400,bHLH,No
Glyma.01G057500,bHLH,No
Glyma.01G058300,bHLH,No
Glyma.01G061500,bHLH,No
Glyma.01G061800,bHLH,No
Glyma.01G062000,bHLH,No
Glyma.01G062600,bHLH,No
Glyma.01G063000,bHLH,No
Glyma.01G063800,bHLH,No
Glyma.01G065800,bHLH,No
Glyma.01G068200,bHLH,No
Glyma.01G069000,bHLH,No
Glyma.01G071300,bHLH,No
Glyma.01G074500,bHLH,No
Glyma.01G074600,bHLH,No
Glyma.01G074800,bHLH,No
Glyma.01G076100,bHLH,No
Glyma.01G077000,bHLH,No
Glyma.01G077100,bHLH,Yes
Glyma.01G078400,bHLH,No
Glyma.01G078800,bHLH,No
Glyma.01G081600,bHLH,No
Glyma.01G082802,bHLH,Yes
Glyma.01G083000,bHLH,No
Glyma.01G084500,bHLH,No
Glyma.01G086900,bHLH,Yes
Glyma.01G087900,bHLH,No
Glyma.01G090400,bHLH,Yes
Glyma.01G091400,bHLH,No
Glyma.01G092900,bHLH,No
Glyma.01G096000,bHLH,No
Glyma.01G096800,bHLH,No
Glyma.01G097400,bHLH,No
Glyma.01G098000,bHLH,No
Glyma.01G102600,bHLH,No
Glyma.01G102802,bHLH,No
Glyma.01G104100,bHLH,No
Glyma.01G106000,bHLH,No
Glyma.01G106100,bHLH,No
Glyma.01G106200,bHLH,No
Glyma.01G106500,bHLH,Yes
Glyma.01G107951,bHLH,No
Glyma.01G108200,bHLH,No
Glyma.01G108700,bHLH,No
Glyma.01G109200,bHLH,No
Glyma.01G109800,bHLH,No
Glyma.01G111300,bHLH,No
Glyma.01G112900,bHLH,Yes
Glyma.01G114400,bHLH,No
Glyma.01G115500,bHLH,No
Glyma.01G115900,bHLH,No
Glyma.01G117900,bHLH,No
Glyma.01G119300,bHLH,No
Glyma.01G121700,bHLH,No
Glyma.01G124700,bHLH,Yes
Glyma.01G126000,bHLH,No
Glyma.01G126600,bHLH,No
Glyma.01G127100,bHLH,No
Glyma.01G127200,bHLH,No
Glyma.01G127500,bHLH,Yes
Glyma.01G128100,bHLH,Yes
Glyma.01G129100,bHLH,No
Glyma.01G131100,bHLH,No
Glyma.01G131500,bHLH,No
Glyma.01G134600,bHLH,No
Glyma.01G135200,bHLH,Yes
Glyma.01G137500,bHLH,No
Glyma.01G137700,bHLH,No
Glyma.01G138800,bHLH,No
Glyma.01G139500,bHLH,Yes
Glyma.01G139600,bHLH,No
Glyma.01G141900,bHLH,No
Glyma.01G143500,bHLH,No
Glyma.01G144500,bHLH,Yes
Glyma.01G144700,bHLH,No
Glyma.01G144900,bHLH,Yes
Glyma.01G146300,bHLH,No
Glyma.01G147700,bHLH,No
