TF,TF1_TF2_count,TF1_count,TF2_count,cosine,zscore,helper
BHLH112,369,416,455,0.848152609,56.63605066,0
MYB3R4,205,242,261,0.815691477,51.36028993,0
ERF023,483,773,481,0.792108814,54.55902409,0
ERF096,677,754,971,0.791212939,55.53968775,0
ERF069,841,1189,971,0.782700216,53.37339493,0
ERF069,724,1189,754,0.76464872,55.39352013,0
NAC076,325,447,426,0.744774502,65.27168344,0
ERF10,1221,1872,1460,0.738560903,54.55040524,0
ERF11,1145,1697,1432,0.734502125,53.39793846,0
ERF069,817,1189,1068,0.725012514,52.3957677,0
ERF091,1231,2006,1460,0.719310104,54.26023978,0
ERF069,925,1189,1432,0.708890729,50.33212137,0
ERF4,671,940,971,0.702342547,51.32355429,0
ERF109,707,1068,971,0.694263243,49.43914149,0
NAC054,547,736,847,0.692798142,41.89333198,0
ERF118,816,1432,971,0.692004685,56.60166657,0
ERF10,1411,1872,2240,0.689048961,54.09784874,0
ERF069,973,1189,1697,0.68498489,49.86708179,0
MYB13,504,686,793,0.683332198,45.03851617,0
ERF091,1321,2006,1872,0.681686088,44.75242847,0
ERF091,1434,2006,2240,0.676487347,45.24626224,0
ERF069,708,1189,940,0.669697077,54.30495179,0
ERF104,1209,2240,1460,0.66853764,42.09539891,0
ERF096,488,754,718,0.663241858,45.91901304,0
MYB30,479,757,704,0.656147146,50.81063304,0
ERF096,679,754,1432,0.653450346,48.2140686,0
ERF096,737,754,1697,0.651539715,39.63363596,0
ERF11,1223,1697,2077,0.651429299,39.71408927,0
ERF109,647,1068,940,0.645735596,40.76654646,0
MYB119,79,123,122,0.644903331,45.97974202,0
MYB58,468,793,674,0.640146405,42.68946969,0
ERF11,820,1697,971,0.63879766,38.94154585,0
NAC025,174,298,249,0.638765487,36.90124832,0
ERF096,573,754,1068,0.638532964,40.05277341,0
ERF003,1376,2245,2077,0.637223836,43.73178088,0
ERF11,797,1697,940,0.631035037,48.98829003,0
ERF038,226,481,272,0.624815003,46.00068219,0
ERF091,1056,2006,1432,0.623055802,45.67791882,0
ERF118,721,1432,940,0.621440894,39.95449689,0
ERF109,766,1068,1432,0.619400618,48.16996845,0
ERF091,1141,2006,1697,0.618413923,42.38927033,0
ERF11,679,1697,718,0.615129607,38.10418112,0
ERF003,1318,2245,2103,0.606579322,43.04269504,0
ERF013,598,1260,773,0.605935175,34.68935798,0
ERF096,509,754,940,0.604600055,49.6900991,0
ERF091,717,2006,718,0.597436111,31.29070386,0
ERF11,929,1697,1460,0.590198858,48.29010382,0
ERF091,1202,2006,2077,0.588871797,36.48785513,0
ERF118,850,1432,1460,0.587856046,37.47369173,0
ERF109,786,1068,1697,0.583842894,38.9482506,0
ERF073,634,808,1460,0.583723462,37.56426565,0
MYB1,139,276,208,0.580134364,40.09007457,0
MYB105,145,303,208,0.577583822,40.76154745,0
MYB118,91,202,123,0.577315412,41.89336844,0
ERF15,481,718,971,0.576067321,39.48063966,0
ERF118,584,1432,718,0.575942485,42.10978137,0
MYB3R1,118,202,208,0.575671402,39.23358784,0
ERF003,1029,2245,1432,0.573899297,36.99013122,0
NAC018,196,297,393,0.573695669,40.68606333,0
ERF10,939,1872,1432,0.573510219,32.41744537,0
ERF15,585,718,1460,0.571369713,38.20240106,0
MYB13,351,686,551,0.570912115,35.45999329,0
ERF118,984,1432,2077,0.570565281,38.74428823,0
ERF013,928,1260,2103,0.570089533,36.60984898,0
ERF069,526,1189,718,0.569288741,32.09067861,0
ERF104,1106,2240,1697,0.567270496,30.05866094,0
ERF10,1011,1872,1697,0.567227545,33.28432579,0
MYB24,187,274,397,0.56698435,47.23464264,0
MYB118,89,202,122,0.566936485,36.90190446,0
ERF003,1104,2245,1697,0.565613777,43.42464098,0
ERF003,1159,2245,1872,0.565356437,36.59955142,0
ERF091,776,2006,940,0.565109138,36.0623585,0
ERF091,788,2006,971,0.564613344,41.85950848,0
ERF003,1195,2245,2006,0.563111333,35.18393589,0
ERF073,729,808,2077,0.562734575,39.6346225,0
ERF104,1209,2240,2077,0.560510875,31.15767692,0
ERF069,865,1189,2006,0.560092447,38.39856096,0
ERF073,709,808,2006,0.556897272,33.85901839,0
ERF2,973,1460,2103,0.555286066,41.71717087,0
ERF091,682,2006,754,0.554540459,35.83055565,0
ERF2,660,1460,971,0.55431661,36.03873053,0
MYB57,164,222,397,0.552423452,41.31404067,0
ERF104,988,2240,1432,0.55164721,34.45135055,0
ERF10,1087,1872,2077,0.551262403,40.57361828,0
WRKY30,467,605,1190,0.550383889,33.63003775,0
ERF096,577,754,1460,0.549937978,33.65985732,0
ERF003,1220,2245,2240,0.544036013,30.85760289,0
