geneId,Condition,FC,DE
Glyma.02G028600,Capture_R1,3.854272884,Yes
Glyma.02G268200,Capture_R1,6.901395723,Yes
Glyma.04G131100,Capture_R1,11.12111004,Yes
Glyma.16G195600,Capture_R1,7.868681477,Yes
Glyma.18G177000,Capture_R1,10.48130094,Yes
Glyma.19G011700,Capture_R1,7.476639296,Yes
Glyma.19G188100,Capture_R1,8.128810743,Yes
Glyma.02G028600,Capture_R25,3.568239241,Yes
Glyma.02G268200,Capture_R25,6.848363625,Yes
Glyma.04G131100,Capture_R25,9.715613305,Yes
Glyma.16G195600,Capture_R25,6.144946681,Yes
Glyma.18G177000,Capture_R25,10.52975471,Yes
Glyma.19G011700,Capture_R25,5.683049923,Yes
Glyma.19G188100,Capture_R25,7.885346963,Yes
Glyma.02G028600,RNA-seq_R1,3.788845998,Yes
Glyma.02G268200,RNA-seq_R1,2.771047942,No
Glyma.04G131100,RNA-seq_R1,8.421569482,Yes
Glyma.16G195600,RNA-seq_R1,4.724398642,Yes
Glyma.18G177000,RNA-seq_R1,9.290992804,Yes
Glyma.19G011700,RNA-seq_R1,0.961150589,No
Glyma.19G188100,RNA-seq_R1,5.476621789,Yes
Glyma.02G028600,RNA-seq_R25,4.513858053,Yes
Glyma.02G268200,RNA-seq_R25,4.275226257,No
Glyma.04G131100,RNA-seq_R25,8.86525171,Yes
Glyma.16G195600,RNA-seq_R25,5.766608069,Yes
Glyma.18G177000,RNA-seq_R25,10.53454788,Yes
Glyma.19G011700,RNA-seq_R25,7.2021091,Yes
Glyma.19G188100,RNA-seq_R25,6.822180222,Yes
