Target,DE_R1_mock,DE_R25_mock,DE_R1_R25,R1_LFC,R25_LFC,abs_R1_FC,abs_R25_FC,mean_fc
Glyma.01G002200,no,yes,no,-0.289609645,-0.596744791,0.289609645,0.596744791,0.443177218
Glyma.01G002902,no,yes,no,-1.476018221,-1.589990985,1.476018221,1.589990985,1.533004603
Glyma.01G004200,yes,yes,yes,3.066837142,3.947737513,3.066837142,3.947737513,3.507287328
Glyma.01G004600,yes,no,no,-1.005700582,-0.599405476,1.005700582,0.599405476,0.802553029
Glyma.01G004800,yes,yes,no,2.921636586,4.053623608,2.921636586,4.053623608,3.487630097
Glyma.01G005000,no,yes,no,-0.720405102,-1.089187143,0.720405102,1.089187143,0.904796122
Glyma.01G005500,no,yes,no,-0.19489361,-1.462827289,0.19489361,1.462827289,0.82886045
Glyma.01G007200,no,yes,no,0.719717533,1.551780044,0.719717533,1.551780044,1.135748789
Glyma.01G007300,no,yes,no,1.279665319,2.222139757,1.279665319,2.222139757,1.750902538
Glyma.01G007400,yes,yes,no,0.935763583,1.584356753,0.935763583,1.584356753,1.260060168
Glyma.01G007500,no,yes,no,1.253665865,2.468599355,1.253665865,2.468599355,1.86113261
Glyma.01G007700,no,yes,no,0.573543755,0.763390256,0.573543755,0.763390256,0.668467005
Glyma.01G008900,no,yes,no,-0.234348408,-0.704783995,0.234348408,0.704783995,0.469566201
Glyma.01G009700,no,yes,no,-0.484758565,-0.904869095,0.484758565,0.904869095,0.69481383
Glyma.01G010200,yes,yes,no,-1.203181231,-1.329056466,1.203181231,1.329056466,1.266118849
Glyma.01G010300,no,yes,no,-0.414904353,-0.592215425,0.414904353,0.592215425,0.503559889
Glyma.01G010400,yes,yes,no,0.988876467,0.831646059,0.988876467,0.831646059,0.910261263
Glyma.01G010500,no,yes,no,1.185612422,2.516129535,1.185612422,2.516129535,1.850870978
Glyma.01G015000,no,yes,no,0.326359916,0.488679387,0.326359916,0.488679387,0.407519651
Glyma.01G015400,no,yes,no,-0.307971293,-0.644786111,0.307971293,0.644786111,0.476378702
Glyma.01G017700,yes,yes,no,1.009217074,1.175122397,1.009217074,1.175122397,1.092169735
Glyma.01G018400,no,yes,no,0.351605293,0.322003873,0.351605293,0.322003873,0.336804583
Glyma.01G019100,no,yes,no,-0.268421076,-0.585707422,0.268421076,0.585707422,0.427064249
Glyma.01G019300,no,yes,no,-0.376905732,-1.11368686,0.376905732,1.11368686,0.745296296
Glyma.01G019400,no,yes,no,-0.359844936,-0.715403033,0.359844936,0.715403033,0.537623984
Glyma.01G019700,no,yes,no,-0.69527313,-1.009836425,0.69527313,1.009836425,0.852554777
Glyma.01G020900,yes,yes,no,-0.909085398,-1.115399041,0.909085398,1.115399041,1.01224222
Glyma.01G022700,no,yes,no,-0.501041623,-0.905296444,0.501041623,0.905296444,0.703169033
Glyma.01G023300,no,yes,no,-0.309021909,-0.53504356,0.309021909,0.53504356,0.422032735
Glyma.01G024000,yes,yes,no,0.586886989,0.97214856,0.586886989,0.97214856,0.779517775
Glyma.01G024700,no,yes,no,0.93188722,0.983213697,0.93188722,0.983213697,0.957550459
Glyma.01G025300,no,yes,no,-0.103626601,-1.060286287,0.103626601,1.060286287,0.581956444
Glyma.01G026700,no,yes,no,-0.48558877,-0.636794554,0.48558877,0.636794554,0.561191662
Glyma.01G028500,no,yes,no,-0.76140261,-1.235690696,0.76140261,1.235690696,0.998546653
Glyma.01G031500,yes,yes,yes,0.801490127,1.887444157,0.801490127,1.887444157,1.344467142
Glyma.01G032600,no,yes,no,-0.533765213,-1.552645863,0.533765213,1.552645863,1.043205538
Glyma.01G033700,yes,yes,no,-1.150492676,-1.577469806,1.150492676,1.577469806,1.363981241
Glyma.01G033800,yes,yes,no,-0.867079792,-1.187172912,0.867079792,1.187172912,1.027126352
Glyma.01G033900,yes,yes,no,-1.192396535,-1.14958872,1.192396535,1.14958872,1.170992627
Glyma.01G034600,no,yes,no,3.144133919,3.812607884,3.144133919,3.812607884,3.478370902
Glyma.01G034900,no,yes,no,-0.739051973,-1.268489154,0.739051973,1.268489154,1.003770564
Glyma.01G036600,yes,yes,no,5.753937045,6.712535163,5.753937045,6.712535163,6.233236104
