Target,Treatment,FC
Glyma.01G002200,R1_FC,-0.289609645
Glyma.01G002902,R1_FC,-1.476018221
Glyma.01G004200,R1_FC,3.066837142
Glyma.01G004600,R1_FC,-1.005700582
Glyma.01G004800,R1_FC,2.921636586
Glyma.01G005000,R1_FC,-0.720405102
Glyma.01G005500,R1_FC,-0.19489361
Glyma.01G007200,R1_FC,0.719717533
Glyma.01G007300,R1_FC,1.279665319
Glyma.01G007400,R1_FC,0.935763583
Glyma.01G007500,R1_FC,1.253665865
Glyma.01G007700,R1_FC,0.573543755
Glyma.01G008900,R1_FC,-0.234348408
Glyma.01G009700,R1_FC,-0.484758565
Glyma.01G010200,R1_FC,-1.203181231
Glyma.01G010300,R1_FC,-0.414904353
Glyma.01G010400,R1_FC,0.988876467
Glyma.01G010500,R1_FC,1.185612422
Glyma.01G015000,R1_FC,0.326359916
Glyma.01G015400,R1_FC,-0.307971293
Glyma.01G017700,R1_FC,1.009217074
Glyma.01G018400,R1_FC,0.351605293
Glyma.01G019100,R1_FC,-0.268421076
Glyma.01G019300,R1_FC,-0.376905732
Glyma.01G019400,R1_FC,-0.359844936
Glyma.01G019700,R1_FC,-0.69527313
Glyma.01G020900,R1_FC,-0.909085398
Glyma.01G022700,R1_FC,-0.501041623
Glyma.01G023300,R1_FC,-0.309021909
Glyma.01G024000,R1_FC,0.586886989
Glyma.01G024700,R1_FC,0.93188722
Glyma.01G025300,R1_FC,-0.103626601
Glyma.01G026700,R1_FC,-0.48558877
Glyma.01G028500,R1_FC,-0.76140261
Glyma.01G031500,R1_FC,0.801490127
Glyma.01G032600,R1_FC,-0.533765213
Glyma.01G033700,R1_FC,-1.150492676
Glyma.01G033800,R1_FC,-0.867079792
Glyma.01G033900,R1_FC,-1.192396535
Glyma.01G034600,R1_FC,3.144133919
Glyma.01G034900,R1_FC,-0.739051973
Glyma.01G036600,R1_FC,5.753937045
Glyma.01G036900,R1_FC,3.149276684
Glyma.01G037200,R1_FC,3.894578532
Glyma.01G038600,R1_FC,-0.731792153
Glyma.01G038700,R1_FC,-0.67258566
Glyma.01G040000,R1_FC,-0.40294529
Glyma.01G040200,R1_FC,-1.556110054
Glyma.01G040900,R1_FC,3.398994504
Glyma.01G044100,R1_FC,1.078067732
Glyma.01G044200,R1_FC,0.532500368
Glyma.01G045500,R1_FC,-0.370557835
Glyma.01G049100,R1_FC,-0.53729628
Glyma.01G053800,R1_FC,0.732674145
Glyma.01G054200,R1_FC,-0.592884629
Glyma.01G054400,R1_FC,0.148530822
Glyma.01G056100,R1_FC,2.488927137
Glyma.01G057400,R1_FC,0.52891587
Glyma.01G057500,R1_FC,-0.745616453
Glyma.01G058300,R1_FC,-0.370530739
Glyma.01G061500,R1_FC,0.872896205
Glyma.01G061800,R1_FC,0.588144485
Glyma.01G062000,R1_FC,-0.67367413
Glyma.01G062600,R1_FC,-1.222435184
Glyma.01G063000,R1_FC,0.593397348
Glyma.01G063800,R1_FC,-1.055267568
Glyma.01G065800,R1_FC,2.125864511
Glyma.01G068200,R1_FC,-1.762170115
Glyma.01G069000,R1_FC,0.26225161
Glyma.01G071300,R1_FC,1.059419315
Glyma.01G074500,R1_FC,0.803216934
Glyma.01G074600,R1_FC,2.632355751
Glyma.01G074800,R1_FC,-0.785545708
Glyma.01G076100,R1_FC,-0.991062772
Glyma.01G077000,R1_FC,3.581059831
Glyma.01G077100,R1_FC,-1.027147
Glyma.01G078400,R1_FC,-0.900067616
Glyma.01G078800,R1_FC,-1.250469066
Glyma.01G081600,R1_FC,0.641507863
Glyma.01G082802,R1_FC,1.403598266
Glyma.01G083000,R1_FC,1.337000587
Glyma.01G084500,R1_FC,-0.298606321
Glyma.01G086900,R1_FC,1.529186945
Glyma.01G087900,R1_FC,-1.323505179
Glyma.01G090400,R1_FC,4.756612829
Glyma.01G091400,R1_FC,3.891337708
Glyma.01G092900,R1_FC,1.153838441
Glyma.01G096000,R1_FC,0.909340112
Glyma.01G096800,R1_FC,1.563022411
Glyma.01G097400,R1_FC,2.707678056
Glyma.01G098000,R1_FC,-0.732303417
Glyma.01G102600,R1_FC,1.270654727
Glyma.01G102802,R1_FC,-0.501000654
Glyma.01G104100,R1_FC,-0.866774381
Glyma.01G106000,R1_FC,1.63907128
Glyma.01G106100,R1_FC,-2.540488198
Glyma.01G106200,R1_FC,-0.348556448
Glyma.01G106500,R1_FC,-0.872453113
Glyma.01G107951,R1_FC,0.389551546
Glyma.01G108200,R1_FC,4.790343346
Glyma.01G108700,R1_FC,1.232609833
