target_id	length	eff_length	est_counts	tpm
Glyma.19G000100.3	3337	3148.25	0	0
Glyma.19G000200.1	1161	972.247	1	2.29967
Glyma.19G000300.1	3308	3119.25	0	0
Glyma.19G000400.4	3495	3306.25	0	0
Glyma.19G000500.1	1305	1116.25	0	0
Glyma.19G000600.1	272	96.1051	0	0
Glyma.19G000700.1	2128	1939.25	0	0
Glyma.19G000800.2	2130	1941.25	0	0
Glyma.19G000900.2	2479	2290.25	14	13.6675
Glyma.19G001000.1	508	319.576	0	0
Glyma.19G001100.1	882	693.247	0	0
Glyma.19G001200.1	2364	2175.25	0	0
Glyma.19G001300.2	1569	1380.25	0	0
Glyma.19G001400.3	1345	1156.25	0	0
Glyma.19G001500.1	4298	4109.25	0	0
Glyma.19G001600.1	3125	2936.25	0	0
Glyma.19G001700.1	1703	1514.25	0	0
Glyma.19G001800.1	234	70.1896	0	0
Glyma.19G001900.3	2369	2180.25	0	0
Glyma.19G002000.1	938	749.247	0	0
Glyma.19G002100.1	258	85.884	0	0
Glyma.19G002200.3	2400	2211.25	0	0
Glyma.19G002300.1	524	335.543	0	0
Glyma.19G002400.1	1568	1379.25	0	0
Glyma.19G002501.1	594	405.428	0	0
Glyma.19G002600.3	938	749.247	0	0
Glyma.19G002700.2	1389	1200.25	0	0
Glyma.19G002802.1	1574	1385.25	0	0
Glyma.19G002900.4	1930	1741.25	0	0
Glyma.19G003000.1	2438	2249.25	0	0
Glyma.19G003100.1	3721	3532.25	0	0
Glyma.19G003200.1	3175	2986.25	0	0
Glyma.19G003300.1	2743	2554.25	1	0.875344
Glyma.19G003400.2	1819	1630.25	0	0
Glyma.19G003466.1	1022	833.247	0	0
Glyma.19G003532.1	792	603.247	0	0
Glyma.19G003600.1	2274	2085.25	0	0
Glyma.19G003700.1	1510	1321.25	0	0
Glyma.19G003800.1	2380	2191.25	1	1.02035
Glyma.19G003900.1	1562	1373.25	0	0
Glyma.19G004000.8	4189	4000.25	0	0
Glyma.19G004100.1	2250	2061.25	0	0
Glyma.19G004200.1	2465	2276.25	0	0
Glyma.19G004300.2	1635	1446.25	0	0
Glyma.19G004400.1	1616	1427.25	0	0
Glyma.19G004500.2	1734	1545.25	0	0
Glyma.19G004600.1	2586	2397.25	0	0
Glyma.19G004700.5	6163	5974.25	0	0
Glyma.19G004800.1	1027	838.247	0	0
