TF_ID	Gene_ID	Family
Glyma.10G204400.1.p	Glyma.10G204400	RAV
Glyma.02G099500.1.p	Glyma.02G099500	RAV
Glyma.20G186200.1.p	Glyma.20G186200	RAV
Glyma.01G087500.1.p	Glyma.01G087500	RAV
Glyma.20G247300.1.p	Glyma.20G247300	RAV
Glyma.01G000600.1.p	Glyma.01G000600	FAR1
Glyma.01G000600.2.p	Glyma.01G000600	FAR1
Glyma.01G005500.1.p	Glyma.01G005500	NAC
Glyma.01G005500.2.p	Glyma.01G005500	NAC
Glyma.01G005500.3.p	Glyma.01G005500	NAC
Glyma.01G005500.4.p	Glyma.01G005500	NAC
Glyma.01G005500.5.p	Glyma.01G005500	NAC
Glyma.01G013600.1.p	Glyma.01G013600	bZIP
Glyma.01G013600.2.p	Glyma.01G013600	bZIP
Glyma.01G013600.3.p	Glyma.01G013600	bZIP
Glyma.01G013600.4.p	Glyma.01G013600	bZIP
Glyma.01G015900.1.p	Glyma.01G015900	HSF
Glyma.01G018400.1.p	Glyma.01G018400	bHLH
Glyma.01G019700.1.p	Glyma.01G019700	bHLH
Glyma.01G019700.2.p	Glyma.01G019700	bHLH
Glyma.01G019700.3.p	Glyma.01G019700	bHLH
Glyma.01G021100.1.p	Glyma.01G021100	Dof
Glyma.01G023800.1.p	Glyma.01G023800	bHLH
Glyma.01G025000.1.p	Glyma.01G025000	ZF-HD
Glyma.01G029300.1.p	Glyma.01G029300	YABBY
Glyma.01G029300.2.p	Glyma.01G029300	YABBY
Glyma.01G039200.1.p	Glyma.01G039200	bHLH
Glyma.01G039200.2.p	Glyma.01G039200	bHLH
Glyma.01G043000.1.p	Glyma.01G043000	Whirly
Glyma.01G043000.2.p	Glyma.01G043000	Whirly
Glyma.01G043300.1.p	Glyma.01G043300	WRKY
Glyma.01G043300.2.p	Glyma.01G043300	WRKY
Glyma.01G044800.1.p	Glyma.01G044800	bHLH
Glyma.01G045500.1.p	Glyma.01G045500	TCP
Glyma.01G046800.1.p	Glyma.01G046800	NAC
Glyma.01G047900.1.p	Glyma.01G047900	ZF-HD
Glyma.01G049400.1.p	Glyma.01G049400	Dof
Glyma.01G051300.1.p	Glyma.01G051300	NAC
Glyma.01G053800.1.p	Glyma.01G053800	WRKY
Glyma.01G053800.2.p	Glyma.01G053800	WRKY
Glyma.01G056800.1.p	Glyma.01G056800	WRKY
Glyma.01G056800.2.p	Glyma.01G056800	WRKY
Glyma.01G056800.3.p	Glyma.01G056800	WRKY
Glyma.01G056800.4.p	Glyma.01G056800	WRKY
Glyma.01G056800.5.p	Glyma.01G056800	WRKY
Glyma.01G056800.6.p	Glyma.01G056800	WRKY
Glyma.01G063500.1.p	Glyma.01G063500	YABBY
Glyma.01G063700.10.p	Glyma.01G063700	SBP
Glyma.01G063700.1.p	Glyma.01G063700	SBP
Glyma.01G063700.2.p	Glyma.01G063700	SBP
Glyma.01G063700.3.p	Glyma.01G063700	SBP
Glyma.01G063700.4.p	Glyma.01G063700	SBP
Glyma.01G063700.5.p	Glyma.01G063700	SBP
Glyma.01G063700.6.p	Glyma.01G063700	SBP
Glyma.01G063700.7.p	Glyma.01G063700	SBP
Glyma.01G063700.8.p	Glyma.01G063700	SBP
Glyma.01G063700.9.p	Glyma.01G063700	SBP
Glyma.01G066600.1.p	Glyma.01G066600	bHLH
Glyma.01G066600.2.p	Glyma.01G066600	bHLH
Glyma.01G066600.3.p	Glyma.01G066600	bHLH
Glyma.01G066600.4.p	Glyma.01G066600	bHLH
Glyma.01G068600.1.p	Glyma.01G068600	bHLH
Glyma.01G069300.1.p	Glyma.01G069300	bZIP
Glyma.01G073100.1.p	Glyma.01G073100	GATA
Glyma.01G075800.1.p	Glyma.01G075800	SBP
Glyma.01G075900.1.p	Glyma.01G075900	SBP
Glyma.01G076900.1.p	Glyma.01G076900	bHLH
Glyma.01G079500.1.p	Glyma.01G079500	GRAS
Glyma.01G084200.1.p	Glyma.01G084200	bZIP
Glyma.01G084200.2.p	Glyma.01G084200	bZIP
Glyma.01G084200.3.p	Glyma.01G084200	bZIP
Glyma.01G084200.4.p	Glyma.01G084200	bZIP
Glyma.01G088200.1.p	Glyma.01G088200	NAC
Glyma.01G088200.2.p	Glyma.01G088200	NAC
Glyma.01G088200.3.p	Glyma.01G088200	NAC
Glyma.01G088200.4.p	Glyma.01G088200	NAC
Glyma.01G088300.1.p	Glyma.01G088300	bHLH
Glyma.01G088300.2.p	Glyma.01G088300	bHLH
Glyma.01G088300.3.p	Glyma.01G088300	bHLH
Glyma.01G088300.4.p	Glyma.01G088300	bHLH
Glyma.01G093400.1.p	Glyma.01G093400	bHLH
Glyma.01G095500.1.p	Glyma.01G095500	bHLH
Glyma.01G096600.1.p	Glyma.01G096600	bHLH
Glyma.01G121000.1.p	Glyma.01G121000	Trihelix
Glyma.01G123000.1.p	Glyma.01G123000	bHLH
Glyma.01G128100.1.p	Glyma.01G128100	WRKY
Glyma.01G128100.2.p	Glyma.01G128100	WRKY
Glyma.01G129700.1.p	Glyma.01G129700	bHLH
Glyma.01G129700.2.p	Glyma.01G129700	bHLH
Glyma.01G131000.1.p	Glyma.01G131000	LBD
Glyma.01G133500.1.p	Glyma.01G133500	bHLH
Glyma.01G133500.2.p	Glyma.01G133500	bHLH
Glyma.01G136300.1.p	Glyma.01G136300	GRAS
Glyma.01G137200.1.p	Glyma.01G137200	YABBY
Glyma.01G143500.1.p	Glyma.01G143500	HSF
Glyma.01G143800.1.p	Glyma.01G143800	LBD
Glyma.01G143900.1.p	Glyma.01G143900	LBD
Glyma.01G150500.1.p	Glyma.01G150500	Trihelix
Glyma.01G151800.1.p	Glyma.01G151800	BES1
Glyma.01G159200.1.p	Glyma.01G159200	Nin-like
Glyma.01G163500.1.p	Glyma.01G163500	bZIP
Glyma.01G167900.1.p	Glyma.01G167900	NAC
